,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,7.42,0,-8564,-13.83,-6831,-11.03,-1733,-2.80,3465,5.60,5099,8.24
1,2015-11-05,7.42,1.50,8512,9.42,5079,5.62,3434,3.80,-3653,-4.04,-4860,-5.38
2,2015-11-04,7.31,2.38,-258,-0.60,-484,-1.12,226,0.52,-838,-1.93,1096,2.53
3,2015-11-03,7.14,0.71,-151,-0.78,-495,-2.57,343,1.78,349,1.81,-198,-1.03
4,2015-11-02,7.09,-0.70,-2561,-14.00,-1274,-6.97,-1287,-7.04,562,3.07,1999,10.93
5,2015-10-30,7.14,-0.28,-1645,-8.93,-979,-5.31,-666,-3.61,348,1.89,1297,7.04
6,2015-10-29,7.16,0.14,-2085,-8.15,-1301,-5.09,-783,-3.06,-244,-0.95,2329,9.11
7,2015-10-28,7.15,-2.05,-5237,-17.93,-3333,-11.41,-1904,-6.52,1135,3.89,4102,14.05
8,2015-10-27,7.30,-1.75,-3750,-9.90,-2213,-5.84,-1536,-4.06,36.41,0.10,3713,9.80
9,2015-10-26,7.43,0.41,-20.59,-0.05,235,0.52,-256,-0.56,-194,-0.43,215,0.47
10,2015-10-23,7.40,-0.13,-5321,-11.36,-3767,-8.04,-1553,-3.32,1235,2.64,4086,8.72
11,2015-10-22,7.41,-0.27,-4410,-11.45,-1375,-3.57,-3035,-7.88,1119,2.90,3291,8.54
12,2015-10-21,7.43,-0.54,8034,9.65,8005,9.62,29.35,0.04,-4262,-5.12,-3773,-4.53
13,2015-10-20,7.47,0.13,-5317,-10.16,-4933,-9.42,-385,-0.73,1524,2.91,3793,7.25
14,2015-10-19,7.46,-1.97,-5576,-8.10,-763,-1.11,-4813,-6.99,727,1.06,4848,7.05
15,2015-10-16,7.61,3.40,4942,5.13,4025,4.18,916,0.95,-2443,-2.54,-2499,-2.59
16,2015-10-15,7.36,2.51,8049,17.43,3934,8.52,4115,8.91,-3512,-7.61,-4536,-9.82
17,2015-10-14,7.18,-2.84,-2788,-8.78,-2140,-6.74,-649,-2.04,878,2.76,1910,6.02
18,2015-10-13,7.39,0.41,-1724,-4.26,-1207,-2.98,-517,-1.28,-53.45,-0.13,1777,4.39
19,2015-10-12,7.36,2.94,2226,4.27,993,1.90,1233,2.36,-1759,-3.37,-467,-0.90
20,2015-10-09,7.15,0.14,-238,-1.11,-181,-0.84,-56.92,-0.26,-144,-0.67,382,1.78
21,2015-10-08,7.14,2.44,-410,-1.67,1294,5.27,-1704,-6.93,-187,-0.76,597,2.43
22,2015-09-30,6.97,-1.55,-3599,-18.78,-3415,-17.81,-184,-0.96,596,3.11,3004,15.67
23,2015-09-29,7.08,-0.28,-538,-2.42,-224,-1.00,-314,-1.41,-535,-2.40,1072,4.82
24,2015-09-28,7.10,-0.42,-990,-7.08,-811,-5.80,-179,-1.28,-77.36,-0.55,1067,7.63
25,2015-09-25,7.13,-0.83,-1758,-6.29,1540,5.51,-3298,-11.80,-1106,-3.96,2864,10.25
26,2015-09-24,7.19,0.28,-2365,-9.71,-1292,-5.31,-1073,-4.41,154,0.63,2211,9.08
27,2015-09-23,7.17,-3.24,-7449,-20.74,-4812,-13.40,-2636,-7.34,1204,3.35,6245,17.39
28,2015-09-22,7.41,0.27,1052,2.54,-463,-1.12,1515,3.66,21.11,0.05,-1073,-2.59
29,2015-09-21,7.39,1.23,458,1.63,1696,6.04,-1239,-4.41,-196,-0.70,-262,-0.93
