,code,name,mbrg,nprg,nav,targ,epsg,seg
0,002555,顺荣三七,1430.6109,19626.329,387.9968,453.0067,1900.0,317.1479
1,002102,冠福股份,-19.4519,12346.4963,294.6302,111.8129,2539.2857,307.5142
2,002316,键桥通讯,101.4661,11563.0482,1.3421,21.8542,600.0,3.6437
3,002714,牧原股份,11.6115,10235.5856,18.2675,44.3241,5700.0,18.2675
4,600297,广汇汽车,28493.766,4865.75,2111.4469,4662.01,391.5386,2017.2004
5,600889,南京化纤,-23.1227,4819.21,32.6058,-22.3494,-30000.0,48.7694
6,600981,汇鸿集团,343.76,4421.2055,406.4937,528.3587,1131.6716,358.8665
7,600365,通葡股份,379.4226,3829.3096,11.701,35.7651,400.0,0.5586
8,002346,柘中股份,197.1869,3157.4622,60.254,96.7948,2100.0,60.254
9,300324,旋极信息,263.4087,2458.4943,50.1722,111.7865,2625.0,40.3428
10,002239,奥特佳,306.5944,2371.7327,460.7944,659.6904,287.5,493.5082
11,300059,东方财富,592.0738,2257.2278,92.274,38.9007,1579.9228,92.274
12,000590,*ST古汉,56.5497,2226.5562,-20.5831,10.8199,2211.4754,-20.5831
13,300033,同花顺,378.8596,2179.6632,43.9693,97.0413,1037.5,43.9693
14,000673,当代东方,1134.8895,2102.4156,13513.9467,1985.4078,1546.6667,14155.5122
15,000718,苏宁环球,318.9273,2004.0967,36.2681,-10.3027,1488.8889,25.9905
16,000020,深华发A,-32.2505,1918.2329,9.7182,3.47,1917.1429,9.7182
17,000806,银河生物,11.9201,1818.3987,150.7988,23.5817,932.0,151.4246
18,300345,红宇新材,58.3573,1806.4554,10.1974,12.2572,1301.087,6.0147
19,000615,湖北金环,235.4283,1457.2988,160.0492,416.5885,657.1429,149.5791
20,002235,安妮股份,-5.1943,1408.0324,-17.0144,-1.8326,300.0,-19.1532
21,002568,百润股份,1730.5992,1395.584,87.3821,171.5503,168.9655,87.3821
22,002321,华英农业,8.4491,1373.638,2.9923,27.6833,2400.0,3.4939
23,000576,广东甘化,-12.2598,1353.14,8.3591,18.2902,1288.6364,8.4244
24,300173,智慧松德,112.1737,1336.724,188.3955,155.5779,133.3333,189.9401
25,603169,兰石重装,104.9274,1291.8411,100.9323,45.0887,622.4974,100.9323
26,300156,神雾环保,991.4546,1287.7106,17.756,40.8011,675.0,19.5444
27,002617,露笑科技,-32.0749,1256.2203,0.3051,-11.1124,366.6667,0.5874
28,300085,银之杰,449.9484,1244.2911,69.4413,97.8372,461.1511,67.6297
29,300077,国民技术,20.5358,1140.1636,2.4466,10.6305,1145.7895,2.4477
30,002323,雅百特,120.1383,1109.2963,-38.7023,-13.531,750.9944,-38.7023
31,002356,浩宁达,89.389,974.0499,6.6552,4.528,122.2222,5.6351
32,002619,巨龙管业,31.5632,927.9364,454.4554,240.5642,400.0,467.0267
33,000048,康达尔,41.952,925.3585,53.0967,13.3773,1317.1053,63.1929
34,600826,兰生股份,71.4534,887.1922,32.2133,36.9414,883.3333,30.3717
35,300242,明家科技,397.3898,867.0364,98.3909,165.6573,238.75,98.3909
36,002523,天桥起重,38.4825,843.1242,57.4949,91.7455,800.0,60.9775
37,002074,国轩高科,170.4112,837.3811,425.4074,321.6401,345.4545,452.5484
38,002640,跨境通,637.0705,793.3591,176.0315,173.1202,58.3333,177.7364
39,600769,祥龙电业,65.063,766.3525,19.4759,-10.8121,775.0,19.9424
40,002195,二三四五,232.6032,736.3825,7.9744,9.9756,0.4808,8.2666
41,600399,抚顺特钢,-14.2631,714.1832,10.587,13.1562,448.25,10.587
42,000607,华媒控股,-29.8859,702.5469,149.8865,-10.6,757.1429,265.2663
43,300422,博世科,134.3173,685.6276,,,200.0,
44,002036,汉麻产业,9.0628,635.9394,73.8348,58.8799,760.0,116.2646
45,601872,招商轮船,158.3697,625.6822,32.5554,44.3208,405.8824,35.943
46,600666,奥瑞德,-7.0461,594.83,346.6794,50.0553,270.0,346.1951
47,000667,美好集团,46.9894,537.829,3.6939,12.3969,530.0,3.8329
48,000821,京山轻机,0.3394,523.8956,50.4601,41.1529,-850.0,52.2567
49,000586,汇源通信,-2.3612,510.6367,10.3569,-1.9476,485.7143,11.1346
50,000796,凯撒旅游,780.8427,500.019,49.7246,99.0461,351.3761,58.7236
51,300297,蓝盾股份,49.011,492.1654,73.7435,89.0638,133.3333,72.324
