,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600155,宝硕股份,69.08,118.76,2.7797,286.2728,0.6006,241.0433,0.5057
1,002568,百润股份,58.55,31.88,77.7464,701.0257,0.7823,2198.4758,2.4536
2,600870,*ST厦华,55.82,22.0,7.5697,6.6496,0.0127,30.2219,0.0577
3,000520,长航凤凰,46.64,18.48,12.7587,108.8259,0.1075,588.5767,0.5815
4,300059,东方财富,44.13,64.29,88.3693,1475.4098,0.8681,2294.6079,1.3501
5,600766,园城黄金,43.91,276.74,100.0,24.4288,0.1089,8.8272,0.0393
6,600556,慧球科技,34.87,2.14,31.9332,1.0615,0.0026,49.4548,0.1252
7,603169,兰石重装,34.71,31.74,49.0563,662.1651,0.7,2086.1365,2.2055
8,000963,华东医药,33.09,5.74,24.3481,927.4152,2.1366,16156.3579,37.2214
9,600889,南京化纤,32.94,40.02,14.2021,459.1984,1.4954,1147.1489,3.7357
10,600894,广日股份,31.91,55.95,22.493,2002.8086,2.3289,3579.4956,4.1624
11,002323,雅百特,31.25,28.26,43.9856,163.608,0.6581,578.807,2.3284
12,600340,华夏幸福,30.59,15.03,36.7745,3763.3635,1.4224,25030.4841,9.4606
13,600753,东方银星,30.37,3239.29,57.8368,44.2205,0.3454,1.3651,0.0106
14,600398,海澜之家,30.03,20.21,39.8231,2289.5728,0.5096,11324.6876,2.5206
15,300033,同花顺,29.48,63.71,84.239,489.3088,0.9101,767.9519,1.4284
16,002015,*ST霞客,29.13,36.92,8.1311,90.6686,0.2262,245.5353,0.6127
17,600722,*ST金化,27.67,53.23,9.0656,237.3635,0.3488,445.9025,0.6554
18,002354,天神娱乐,27.55,45.92,72.9068,242.816,1.0892,528.6931,2.3715
19,002174,游族网络,27.46,32.77,60.6022,340.7192,1.2357,1039.6381,3.7707
20,300208,恒顺众昇,26.92,29.85,46.8591,277.6975,0.3622,930.2907,1.2136
21,600338,西藏珠峰,26.76,16.69,30.706,225.149,0.3447,1348.39,2.0648
22,300017,网宿科技,25.46,27.74,44.1335,558.0792,0.7923,2011.4497,2.8557
23,000966,长源电力,25.44,17.25,32.1886,777.9368,1.4038,4507.7383,8.1346
24,002504,弘高创意,25.31,7.77,18.0182,217.7499,0.5275,2802.2237,6.7894
25,600452,涪陵电力,25.13,17.85,10.6679,167.6597,1.0478,939.2686,5.8704
26,000048,康达尔,24.86,9.43,33.109,168.3432,0.4308,1784.8881,4.5676
27,002143,印纪传媒,24.33,27.39,45.6498,326.2979,0.2949,1191.011,1.0767
28,600647,同达创业,24.16,80.69,33.4041,65.3225,0.4694,80.9528,0.5817
29,002736,国信证券,23.84,50.27,66.5698,11082.5826,1.3515,22043.0356,2.6881
30,000712,锦龙股份,23.19,4121.63,95.6822,746.1947,0.8328,18.1043,0.0202
31,000333,美的集团,23.09,9.88,26.2735,11012.1027,2.5815,111374.4157,26.1092
32,603288,海天味业,22.8,22.66,43.1787,1841.1713,0.6803,8122.3891,3.0013
33,000848,承德露露,22.11,16.15,43.0106,344.3915,0.4575,2131.6441,2.8318
34,002415,海康威视,22.05,22.6,41.6821,3769.9868,0.9264,16677.6385,4.0985
35,000603,盛达矿业,21.99,32.18,80.6069,197.6884,0.3914,614.1632,1.2161
36,002701,奥瑞金,21.86,17.14,34.0887,880.4888,0.8972,5135.3115,5.2329
37,002294,信立泰,21.78,36.06,73.8771,925.9132,0.8851,2567.6615,2.4547
38,000540,中天城投,21.48,17.15,33.6082,1916.2501,0.445,11172.8983,2.5949
39,000565,渝三峡A,21.17,44.44,29.1396,164.1116,0.3784,369.2218,0.8515
40,000430,张家界,20.92,25.86,49.0856,130.8719,0.4079,505.917,1.5768
41,600083,博信股份,20.89,12.84,38.5508,10.5411,0.0458,82.092,0.3569
42,000686,东北证券,20.86,44.56,57.5164,2232.487,1.1406,5009.4699,2.5595
43,300267,尔康制药,20.8,34.74,53.343,426.6448,0.4678,1228.0549,1.3466
44,600816,安信信托,20.78,63.16,79.6666,1213.558,0.6856,1921.398,1.0856
45,600201,金宇集团,20.31,45.59,76.1254,403.9601,1.4104,886.0419,3.0935
46,600835,上海机电,20.3,10.97,21.0866,1619.0257,1.583,14753.2938,14.4252
47,000796,凯撒旅游,20.26,4.48,19.021,167.0079,0.6774,3725.2676,15.11
48,002304,洋河股份,20.24,32.65,60.9788,4461.1698,2.9603,13661.0264,9.0651
49,601377,兴业证券,20.15,39.16,55.019,3519.0001,0.6767,8985.6221,1.728
50,600566,济川药业,20.11,17.71,84.1768,499.002,0.6385,2816.4583,3.6041
51,000958,东方能源,19.98,42.28,22.2895,212.901,0.4404,503.4789,1.0415
52,000895,双汇发展,19.95,9.68,21.3264,3119.2819,0.9449,32204.8396,9.7564
53,002739,万达院线,19.84,17.18,34.6164,938.2413,0.8377,5460.3148,4.8752
54,000049,德赛电池,19.8,2.93,9.2554,173.0296,0.843,5900.6532,28.7494
55,002373,千方科技,19.19,19.26,28.77,215.1544,0.4256,1117.0615,2.2097
56,000078,海王生物,19.16,4.26,13.4585,350.7192,0.466,8221.3184,10.9251
57,600612,老凤祥,19.11,2.72,8.0128,800.6834,1.5305,29423.7472,56.2468
58,600519,贵州茅台,19.08,49.35,92.4529,11424.6377,9.0946,23148.689,18.4275
59,300446,乐凯新材,18.6,40.48,64.1093,74.8293,1.2187,184.8453,3.0105
60,601633,长城汽车,18.55,11.8,26.1772,6208.5811,2.0406,52604.0989,17.2901
61,600958,东方证券,18.4,49.74,64.9263,5910.8671,1.1191,11882.0653,2.2496
62,600236,桂冠电力,18.36,19.06,49.1756,817.5205,0.3584,4288.9232,1.8807
63,600674,川投能源,18.27,403.18,47.1189,3205.1911,0.728,794.9636,0.1805
64,600315,上海家化,18.18,17.11,60.0588,790.4389,1.1727,4617.5614,6.8506
65,603188,亚邦股份,18.15,29.21,53.5324,538.9317,0.9356,1844.8526,3.2028
66,601877,正泰电器,18.13,14.5,34.222,1272.975,0.9681,8774.9674,6.6734
67,000166,申万宏源,18.07,38.74,54.239,8394.7841,0.565,21664.9348,1.4582
68,600310,桂东电力,18.06,15.06,15.2123,403.0884,0.4869,2675.3821,3.232
69,600593,大连圣亚,17.96,27.34,62.5123,75.2032,0.8174,274.9924,2.989
70,600011,华能国际,17.74,13.6,30.3377,13234.7527,0.9177,97249.3189,6.7438
71,002595,豪迈科技,17.72,29.93,43.486,508.2076,0.6352,1697.5819,2.1219
72,000887,中鼎股份,17.68,12.86,31.0968,613.6215,0.55,4770.2852,4.2763
73,600886,国投电力,17.66,18.59,54.1663,4536.1076,0.6684,24390.2242,3.5941
74,300360,炬华科技,17.65,21.84,32.9818,177.6658,0.7348,813.4634,3.3644
75,000899,赣能股份,17.54,23.07,35.9013,435.2411,0.673,1886.044,2.9165
76,000661,长春高新,17.54,17.26,79.0195,296.608,2.2585,1717.4884,13.0779
77,600369,西南证券,17.46,46.36,55.5346,3109.9415,0.5509,6707.8513,1.1882
78,002450,康得新,17.44,19.69,38.5117,1026.962,0.7148,5214.9171,3.6298
79,002085,万丰奥威,17.39,9.96,25.4694,411.8719,0.4799,4135.0235,4.8181
80,000423,东阿阿胶,17.34,29.85,64.1602,1129.8059,1.7274,3784.84,5.787
81,600826,兰生股份,17.32,31.24,4.901,495.4262,1.1777,1585.6542,3.7696
82,600177,雅戈尔,17.03,26.29,34.9971,3252.4325,1.4607,12368.0414,5.5546
83,000600,建投能源,17.02,24.39,43.8013,1751.8039,0.9777,7181.6811,4.0084
84,002508,老板电器,16.93,15.63,58.2899,488.1359,1.0042,3121.25,6.4213
85,600535,天士力,16.89,12.99,39.2504,1218.649,1.1278,9377.5567,8.679
86,600883,博闻科技,16.71,1251.87,-19.4664,118.8787,0.5035,9.4961,0.0402
87,600276,恒瑞医药,16.7,22.87,85.0113,1571.6354,0.8032,6870.8192,3.5117
88,600867,通化东宝,16.69,31.4,73.9287,389.0893,0.3425,1238.8035,1.0906
89,600066,宇通客车,16.66,9.85,23.8846,1865.2966,0.8425,18929.0673,8.5499
90,600981,汇鸿集团,16.64,2.42,4.2425,734.7877,1.4237,30249.0788,58.6101
91,601515,东风股份,16.57,32.81,49.8715,564.2751,0.5074,1719.6549,1.5464
92,300436,广生堂,16.57,36.37,88.1232,82.6191,0.5901,227.1581,1.6225
93,300357,我武生物,16.4,45.12,95.0197,91.2685,0.5647,202.2391,1.2514
94,600176,中国巨石,16.17,14.63,40.3368,765.5032,0.8772,5232.2567,5.9959
95,002116,中国海诚,16.12,5.34,10.6775,166.0011,0.4072,3103.9357,7.6144
96,002242,九阳股份,16.04,10.06,31.9794,504.9445,0.6576,5015.7874,6.533
97,002081,金螳螂,15.97,9.15,17.7394,1335.1076,0.7576,14588.4684,8.2785
98,002223,鱼跃医疗,15.94,20.32,40.4901,332.0353,0.5678,1633.4955,2.7934
99,002104,恒宝股份,15.85,18.08,34.8971,226.3182,0.3171,1251.2035,1.7535
100,600271,航天信息,15.76,8.59,20.3303,1231.1158,1.3332,14321.4688,15.5094
101,603899,晨光文具,15.71,11.32,25.9056,325.3495,0.7072,2871.7434,6.2429
102,002036,汉麻产业,15.49,35.58,12.0307,111.3483,0.4269,312.9271,1.1999
103,600884,杉杉股份,15.46,21.68,21.4835,666.1874,1.6214,3071.5429,7.4759
104,600182,S佳通,15.44,6.79,25.1672,168.6863,0.4961,2483.4861,7.3043
105,600769,祥龙电业,15.35,42.56,9.6849,6.567,0.0175,15.4281,0.0411
106,300015,爱尔眼科,15.34,14.67,47.9256,358.4038,0.3638,2441.8122,2.4789
