,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-05,6.60,2.17%,5329,6.80%,2947,3.76%,2382,3.04%,-1644,-2.10%,-3685,-4.70%
1,2015-11-04,6.46,5.73%,3948,8.82%,2352,5.25%,1596,3.56%,-920,-2.05%,-3028,-6.76%
2,2015-11-03,6.11,0.33%,-1930,-11.21%,-1756,-10.20%,-174,-1.01%,330,1.92%,1600,9.29%
3,2015-11-02,6.09,-2.25%,-4811,-21.96%,-2451,-11.19%,-2360,-10.77%,975,4.45%,3836,17.51%
4,2015-10-30,6.23,-1.89%,-6774,-22.99%,-5262,-17.86%,-1512,-5.13%,2123,7.21%,4651,15.79%
5,2015-10-29,6.35,-0.16%,-4184,-16.18%,-5385,-20.83%,1201,4.65%,1744,6.75%,2440,9.44%
6,2015-10-28,6.36,-1.85%,-2830,-10.39%,-2958,-10.86%,127,0.47%,-141,-0.52%,2971,10.91%
7,2015-10-27,6.48,-1.22%,-3898,-11.37%,-3126,-9.11%,-773,-2.25%,550,1.60%,3348,9.76%
8,2015-10-26,6.56,-,-2012,-4.64%,910,2.10%,-2922,-6.74%,639,1.47%,1373,3.17%
9,2015-10-23,6.56,1.55%,-402,-1.01%,-921,-2.31%,519,1.30%,190,0.48%,212,0.53%
10,2015-10-22,6.46,2.54%,-1643,-4.40%,-315,-0.84%,-1329,-3.56%,200,0.53%,1444,3.87%
11,2015-10-21,6.30,-6.39%,-3317,-4.41%,-775,-1.03%,-2542,-3.38%,443,0.59%,2874,3.82%
12,2015-10-20,6.73,1.05%,-284,-0.66%,1126,2.63%,-1410,-3.30%,-576,-1.35%,860,2.01%
